MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
,28,0.515558829,,2,0.757575758,,35,0.718685832,,3,0.680272109,,3,0.630252101,,43,0.789715335,,8,0.767018217,,2,0.892857143,,2,1.176470588,,17,0.79887218,,,,,,,,,,,,,,,,
,27,0.497146014,,2,0.757575758,,34,0.698151951,,3,0.680272109,,3,0.630252101,,35,0.642791552,,7,0.67114094,,2,0.892857143,,1,0.588235294,,17,0.79887218,,,,,,,,,,,,,,,,
,25,0.460320383,,2,0.757575758,,32,0.657084189,,3,0.680272109,,3,0.630252101,,34,0.624426079,,7,0.67114094,,1,0.446428571,,1,0.588235294,,16,0.751879699,,,,,,,,,,,,,,,,
,24,0.441907568,,2,0.757575758,,32,0.657084189,,2,0.453514739,,2,0.420168067,,31,0.56932966,,6,0.575263663,,1,0.446428571,,1,0.588235294,,14,0.657894737,,,,,,,,,,,,,,,,
,24,0.441907568,,1,0.378787879,,31,0.636550308,,2,0.453514739,,2,0.420168067,,29,0.532598714,,6,0.575263663,,1,0.446428571,,1,0.588235294,,14,0.657894737,,,,,,,,,,,,,,,,
,24,0.441907568,,1,0.378787879,,31,0.636550308,,2,0.453514739,,2,0.420168067,,28,0.514233242,,6,0.575263663,,1,0.446428571,,1,0.588235294,,13,0.610902256,,,,,,,,,,,,,,,,
,23,0.423494752,,1,0.378787879,,30,0.616016427,,2,0.453514739,,1,0.210084034,,27,0.495867769,,6,0.575263663,,1,0.446428571,,1,0.588235294,,12,0.563909774,,,,,,,,,,,,,,,,
,23,0.423494752,,1,0.378787879,,25,0.513347023,,2,0.453514739,,1,0.210084034,,27,0.495867769,,5,0.479386385,,1,0.446428571,,1,0.588235294,,11,0.516917293,,,,,,,,,,,,,,,,
,21,0.386669122,,0,0,,24,0.492813142,,1,0.22675737,,1,0.210084034,,25,0.459136823,,4,0.383509108,,1,0.446428571,,1,0.588235294,,10,0.469924812,,,,,,,,,,,,,,,,
,19,0.349843491,,0,0,,22,0.45174538,,1,0.22675737,,0,0,,24,0.44077135,,4,0.383509108,,0,0,,0,0,,9,0.422932331,,,,,,,,,,,,,,,,
,17,0.31301786,,0,0,,19,0.390143737,,1,0.22675737,,0,0,,23,0.422405877,,4,0.383509108,,0,0,,0,0,,9,0.422932331,,,,,,,,,,,,,,,,
,13,0.239366599,,0,0,,16,0.328542094,,0,0,,0,0,,18,0.330578512,,2,0.191754554,,0,0,,0,0,,8,0.37593985,,,,,,,,,,,,,,,,
,8,0.147302523,,0,0,,15,0.308008214,,0,0,,0,0,,18,0.330578512,,2,0.191754554,,0,0,,0,0,,8,0.37593985,,,,,,,,,,,,,,,,
,5431,,,0,0,,14,0.287474333,,0,0,,0,0,,16,0.293847567,,2,0.191754554,,0,0,,0,0,,6,0.281954887,,,,,,,,,,,,,,,,
,,,,264,,,4870,,,441,,,476,,,5445,,,1043,,,224,,,170,,,2128,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
McLaren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maserati,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
MINI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chevrolet,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Porsche,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,
Acura,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
Mercedes-Benz,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Ford,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Genesis,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
Smart,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dodge,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Scion,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rolls-Royce,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1
Cadillac,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Honda,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hyundai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Volkswagen,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mazda,4.937163375,1.436265709,3.859964093,1.077199282,1.346499102,2.692998205,1.256732496,1.436265709,1.077199282,2.603231598,1.256732496,1.166965889,0.987432675,1.795332136,3.68043088,1.436265709,1.077199282,29.44344704,0.359066427,1.256732496,1.436265709,0.628366248,0.448833034,0.538599641,1.885098743,1.436265709,1.885098743,0.897666068,3.859964093,3.859964093,0.448833034,1,1.166965889,1.346499102,0.179533214,0.538599641,1.436265709,1.346499102,0.807899461,1,0.179533214,2.603231598,2.333931777,0,
Jeep,3.773584906,0.943396226,0.943396226,0.943396226,0,6.603773585,3.773584906,0,0.943396226,0.943396226,2.830188679,0.943396226,0,1.886792453,4.716981132,0.943396226,0.943396226,0.943396226,33.96226415,1.886792453,0,1.886792453,0,0,2.830188679,0,0,0.943396226,2.830188679,8.490566038,0,0,0,0,0,0.943396226,0,3.773584906,2.830188679,4.716981132,0,0,2.830188679,0,
Infiniti,5.981595092,0.306748466,4.90797546,0.460122699,1.380368098,1.687116564,0.920245399,0.613496933,0.766871166,1.073619632,0.920245399,0.306748466,0.766871166,3.220858896,4.447852761,1.533742331,0.460122699,0.920245399,0.460122699,43.55828221,0.766871166,0.460122699,1.226993865,0.306748466,1.380368098,0.613496933,2.147239264,0.306748466,2.45398773,5.061349693,0.153374233,1.840490798,0.613496933,0.306748466,0.920245399,0.153374233,1.687116564,0.766871166,0.306748466,0.766871166,0.613496933,1.073619632,1.380368098,0,
Land Rover,5.900621118,0.776397516,1.708074534,0.465838509,2.329192547,2.639751553,0.931677019,0.931677019,1.086956522,2.639751553,1.242236025,0.621118012,0.931677019,0.621118012,3.260869565,1.708074534,0.621118012,1.397515528,0.465838509,0.931677019,32.14285714,1.552795031,1.086956522,0.465838509,2.795031056,0.621118012,1.242236025,0.931677019,4.037267081,3.881987578,0.310559006,2.639751553,2.01863354,0.465838509,0,0.621118012,0.931677019,0.776397516,0.310559006,7.763975155,0.155279503,2.329192547,1.708074534,0,
Kia,3.571428571,1.388888889,5.555555556,2.380952381,1.785714286,5.753968254,1.785714286,0.595238095,1.587301587,0.992063492,0.198412698,0.595238095,1.19047619,0.396825397,3.373015873,0.595238095,0.396825397,0.595238095,0.396825397,0.396825397,0.595238095,34.52380952,0.595238095,0.198412698,2.182539683,2.380952381,1.388888889,1.388888889,0.992063492,3.373015873,0.396825397,4.166666667,2.182539683,0.396825397,0.396825397,1.19047619,2.380952381,0.198412698,0.992063492,1.19047619,0,2.380952381,2.976190476,0,
Mitsubishi,3.678929766,0.668896321,3.010033445,1.003344482,0.668896321,2.006688963,1.672240803,1.337792642,0,0.668896321,1.337792642,0,0,4.013377926,4.013377926,1.003344482,0,0.668896321,1.003344482,1.003344482,2.341137124,0.334448161,43.47826087,0,0.668896321,0.334448161,0.668896321,0.668896321,2.341137124,2.341137124,0.668896321,3.344481605,1.003344482,0.668896321,2.341137124,0.668896321,1.003344482,0,0.668896321,4.347826087,0.334448161,0.668896321,3.344481605,0,
BMW,4.901960784,2.941176471,5.882352941,0,0.980392157,2.941176471,2.941176471,3.921568627,0,0,0,0,0,0.980392157,1.960784314,0,1.960784314,1.960784314,0.980392157,2.941176471,0,0.980392157,1.960784314,36.2745098,0.980392157,0.980392157,0,0,0.980392157,1.960784314,0,2.941176471,0,0.980392157,1.960784314,0,1.960784314,0.980392157,0.980392157,2.941176471,0.980392157,6.862745098,0,0,
FIAT,9.080779944,1.002785515,3.175487465,0.61281337,1.169916435,2.17270195,1.114206128,1.281337047,0.891364903,1.671309192,1.782729805,1.225626741,1.002785515,2.284122563,3.454038997,2.005571031,0.77994429,2.17270195,0.334261838,1.169916435,2.116991643,0.61281337,0.557103064,0.389972145,25.2367688,0.389972145,1.058495822,1.448467967,3.509749304,5.849582173,0.724233983,4.289693593,1.448467967,0.501392758,0.334261838,1.169916435,1.448467967,0.501392758,1.002785515,1.782729805,0.278551532,2.618384401,4.3454039,0,
Lincoln,3.985507246,2.173913043,3.260869565,2.536231884,2.898550725,3.260869565,4.710144928,1.086956522,1.086956522,0.724637681,1.086956522,0.362318841,1.811594203,0.362318841,2.173913043,0.724637681,0.362318841,0.724637681,0.362318841,1.811594203,0.362318841,2.536231884,1.449275362,0,1.811594203,29.34782609,3.623188406,2.536231884,0.362318841,3.985507246,0.362318841,1.086956522,1.449275362,0.362318841,0.362318841,1.811594203,2.898550725,0,1.449275362,1.811594203,0.724637681,1.449275362,4.710144928,0,
Lamborghini,3.448275862,0.749625187,3.073463268,1.124437781,1.124437781,2.848575712,0.974512744,0.674662669,1.499250375,2.248875562,0.974512744,0.524737631,0.374812594,0.899550225,4.122938531,0.899550225,1.049475262,1.1994003,0.299850075,0.899550225,0.524737631,1.124437781,0.824587706,0.299850075,1.79910045,0.974512744,45.05247376,0.749625187,1.649175412,4.047976012,0.824587706,1.574212894,1.1994003,0.59970015,0.449775112,0.374812594,1.79910045,0.824587706,0.824587706,2.023988006,0.299850075,1.124437781,2.023988006,0,
Jaguar,1.182033097,3.309692671,3.546099291,2.364066194,3.546099291,4.255319149,1.418439716,2.364066194,3.073286052,2.127659574,1.182033097,2.127659574,0.472813239,1.654846336,2.364066194,0.709219858,1.418439716,0.709219858,0.945626478,0.945626478,0.945626478,2.600472813,0.945626478,0.709219858,2.127659574,3.073286052,2.600472813,17.49408983,1.654846336,2.600472813,0.945626478,4.728132388,3.78250591,1.418439716,0.709219858,2.836879433,3.309692671,0.709219858,1.418439716,1.654846336,0.945626478,1.182033097,1.891252955,0,
GMC,5.541303232,1.231400718,3.181118522,1.590559261,2.154951257,1.949717804,1.180092355,0.872242175,0.974858902,1.693175988,1.487942535,0.718317086,0.923550539,1.231400718,3.848127245,1.282709082,0.769625449,2.103642894,0.359158543,0.820933812,2.001026167,0.820933812,0.256541816,0.30785018,1.693175988,0.410466906,1.231400718,0.564391996,37.76295536,5.387378143,0.615700359,2.616726526,1.795792714,0.461775269,0.256541816,0.615700359,1.744484351,0.359158543,0.564391996,2.873268343,0.102616727,1.539250898,2.103642894,0,
Toyota,6.449864499,0.831074977,3.703703704,0.668473351,1.102077687,2.493224932,1.427280939,0.596205962,0.794941283,1.553748871,1.427280939,0.885275519,0.614272809,1.915085818,3.938572719,1.174345077,0.740740741,0.81300813,0.343270099,1.156278229,0.885275519,0.722673893,0.451671183,0.289069557,1.589882565,0.361336947,1.517615176,0.740740741,2.601626016,44.37217706,0.379403794,2.186088528,1.282746161,0.704607046,0.614272809,0.740740741,1.35501355,0.54200542,0.614272809,1.806684734,0.307136405,1.770551039,1.535682023,0,
Nissan,5.223880597,0,0.746268657,0,0,4.47761194,5.223880597,0,1.492537313,3.731343284,0,0.746268657,0,2.985074627,5.223880597,0,0,2.23880597,0,1.492537313,0.746268657,0.746268657,0,0.746268657,2.23880597,0,2.23880597,0,1.492537313,1.492537313,48.50746269,2.985074627,0,0.746268657,0,0.746268657,0.746268657,0,0.746268657,0.746268657,0,0.746268657,0.746268657,0,
Aston Martin,4.009372559,1.249674564,3.462639938,1.692267639,1.796407186,4.868523822,0.781046602,0.833116376,0.859151263,1.900546733,0.833116376,0.911221036,0.781046602,0.937255923,2.941942203,1.093465243,0.442593075,1.640197865,0.494662848,0.859151263,1.145535017,1.301744337,0.598802395,0.286383754,1.822442072,0.911221036,1.353814111,0.859151263,1.900546733,3.618849258,0.468627961,36.65712054,2.1608956,0.546732622,0.598802395,1.379848998,1.666232752,0.442593075,1.04139547,1.457953658,0.312418641,2.369174694,4.712314501,0,
Volvo,2.485659656,2.294455067,3.4416826,3.250478011,6.500956023,3.059273423,1.529636711,1.147227533,3.4416826,2.676864245,1.7208413,1.147227533,2.294455067,0.573613767,3.4416826,0.573613767,1.147227533,1.338432122,1.529636711,0.764818356,1.7208413,2.103250478,1.338432122,0.956022945,0.956022945,2.485659656,2.103250478,1.529636711,2.103250478,4.206500956,1.338432122,2.294455067,19.69407266,0.764818356,0.573613767,2.103250478,2.868068834,0.764818356,0.573613767,1.912045889,0.382409178,1.147227533,1.7208413,0,
Ferrari,3.663793103,1.50862069,7.75862069,0.431034483,0.862068966,1.50862069,0.431034483,2.155172414,1.50862069,6.896551724,0.215517241,0.862068966,0.646551724,1.50862069,5.172413793,0.215517241,2.370689655,0.646551724,0.862068966,1.077586207,0.646551724,1.077586207,0.431034483,1.293103448,1.077586207,0.431034483,2.586206897,0.862068966,2.586206897,3.232758621,0.431034483,1.724137931,1.293103448,33.8362069,1.077586207,1.293103448,1.724137931,0.862068966,0.862068966,0.646551724,0,0.646551724,1.077586207,0,
Chrysler,4.487179487,0.641025641,1.923076923,1.282051282,0,3.205128205,1.923076923,0.641025641,0,1.282051282,1.282051282,0.641025641,0,2.564102564,2.564102564,0.641025641,0,0.641025641,1.923076923,0.641025641,3.205128205,1.282051282,7.051282051,1.282051282,0.641025641,3.205128205,1.923076923,0.641025641,1.923076923,3.205128205,1.282051282,2.564102564,0.641025641,0,37.82051282,0.641025641,0.641025641,0,1.282051282,1.923076923,0,1.282051282,1.282051282,0,
Bentley,3.605769231,2.884615385,2.884615385,0.961538462,2.403846154,6.25,1.201923077,0.721153846,1.923076923,2.884615385,1.682692308,1.442307692,1.682692308,2.163461538,3.605769231,0.961538462,0.721153846,2.163461538,0.721153846,0.480769231,0.721153846,1.682692308,0.961538462,0.721153846,1.442307692,2.163461538,0.961538462,1.442307692,1.442307692,6.25,0.480769231,5.769230769,2.644230769,0.961538462,0.961538462,18.75,2.403846154,0,1.682692308,0.961538462,0.721153846,2.163461538,3.365384615,0,
Tesla,4.615384615,2.615384615,3.538461538,3.230769231,1.384615385,4,1.384615385,1.076923077,2,1.538461538,0.461538462,0.615384615,1.384615385,1.384615385,3.230769231,1.384615385,0.923076923,1.076923077,0.461538462,0.769230769,0.769230769,1.692307692,0.769230769,0.769230769,1.384615385,1.846153846,1.692307692,1.076923077,1.846153846,4.461538462,0.461538462,4.153846154,1.692307692,0.307692308,0.769230769,0.461538462,27.53846154,0.153846154,0.923076923,3.076923077,0.153846154,2.923076923,4,0,
Ram,2.202643172,1.762114537,5.726872247,1.321585903,2.643171806,2.202643172,1.762114537,2.202643172,1.321585903,3.083700441,0.881057269,0.440528634,1.321585903,1.762114537,3.524229075,1.762114537,0.881057269,0.440528634,1.762114537,0.440528634,0.440528634,1.321585903,0.440528634,1.321585903,0.440528634,0.881057269,1.762114537,0.440528634,2.202643172,1.321585903,0,0.881057269,3.524229075,1.321585903,0.881057269,0.440528634,1.762114537,39.64757709,0.881057269,1.321585903,0,0.881057269,0.440528634,0,
Alfa Romeo,4.303278689,2.459016393,4.098360656,3.073770492,2.254098361,3.073770492,1.229508197,2.254098361,2.049180328,2.459016393,1.024590164,1.844262295,2.049180328,1.229508197,1.844262295,1.43442623,0.819672131,1.639344262,1.024590164,1.43442623,1.024590164,2.663934426,0.409836066,1.024590164,2.049180328,2.254098361,1.639344262,2.663934426,1.844262295,2.663934426,1.024590164,3.073770492,3.893442623,0.614754098,2.459016393,2.459016393,2.254098361,0.614754098,17.00819672,0.819672131,1.844262295,1.229508197,2.868852459,0,
Subaru,3.923705722,0.708446866,2.070844687,1.035422343,1.634877384,1.74386921,1.74386921,1.144414169,0.871934605,1.74386921,2.234332425,0.762942779,1.144414169,1.36239782,3.215258856,1.198910082,0.272479564,1.525885559,0.708446866,0.490463215,2.179836512,0.163487738,0.326975477,0.108991826,1.74386921,0.490463215,1.144414169,0.817438692,3.269754768,5.122615804,0.435967302,3.378746594,1.144414169,0.38147139,0.490463215,0.762942779,1.852861035,0.871934605,0.762942779,41.90735695,0.272479564,1.144414169,1.689373297,0,
Buick,2.577319588,1.030927835,7.216494845,0.515463918,1.546391753,4.12371134,3.092783505,0.515463918,0.515463918,3.092783505,1.030927835,2.577319588,0.515463918,2.577319588,6.18556701,0,2.06185567,2.06185567,0,2.06185567,0,1.546391753,0.515463918,0.515463918,1.546391753,2.06185567,2.06185567,1.030927835,4.639175258,2.577319588,1.030927835,3.092783505,0,0.515463918,1.546391753,0.515463918,1.030927835,1.546391753,0,1.030927835,25.77319588,2.577319588,1.546391753,0,
Lexus,4.091266719,1.337529504,1.337529504,1.101494886,1.180173092,3.855232101,0.865460268,0.550747443,0.472069237,1.494885917,0.786782061,1.258851298,0.629425649,1.101494886,1.652242329,1.02281668,0.550747443,1.180173092,0.472069237,0.314712825,0.865460268,1.337529504,0.393391031,0.236034618,2.43902439,1.101494886,0.865460268,1.101494886,2.202989772,5.035405193,0.472069237,2.832415421,0.708103855,0.629425649,0.157356412,0.629425649,1.730920535,0.078678206,0.629425649,2.04563336,0,46.1054288,3.147128245,0,
Audi,2.779638312,1.339584729,2.880107167,1.373074347,1.908908238,5.224380442,2.578700603,1.004688547,1.306095111,1.975887475,0.803750837,1.105157401,0.870730074,1.574012056,4.219691896,0.971198928,0.468854655,1.473543202,0.56932351,0.93770931,0.904219692,1.272605492,0.535833891,0.435365037,2.344273275,1.339584729,1.406563965,1.373074347,1.841929002,3.415941058,0.636302746,4.755525787,1.841929002,0.703281983,0.56932351,1.239115874,2.277294039,0.535833891,1.004688547,1.975887475,0.401875419,1.808439384,32.01607502,0,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
McLaren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maserati,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
MINI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chevrolet,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Porsche,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,
Acura,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
Mercedes-Benz,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Ford,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Genesis,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
Smart,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dodge,22,1,15,3,6,6,7,5,5,5,171,1,1,4,13,4,2,3,4,8,5,4,5,2,13,2,4,6,16,31,0,7,4,2,2,7,9,3,6,23,0,5,6,0,448
Scion,28,6,39,4,8,19,5,7,7,24,6,234,7,8,26,5,13,17,5,7,10,9,4,9,16,6,9,2,18,17,6,14,13,4,4,5,10,9,4,12,3,15,9,0,683
Rolls-Royce,2,4,5,5,5,2,2,2,3,2,1,3,31,3,3,1,0,2,3,0,4,2,1,1,2,2,0,2,4,2,1,5,4,0,3,1,5,5,3,6,0,1,5,0,138
Cadillac,73,9,29,5,17,28,31,22,5,22,16,7,6,450,46,20,6,25,7,29,16,17,10,6,20,6,18,11,32,64,10,20,10,8,8,5,17,4,9,15,7,15,33,0,1214
Honda,274,43,313,42,77,216,60,43,47,151,49,53,38,78,2193,52,69,57,20,59,47,37,24,16,77,30,81,28,129,255,21,116,85,36,35,46,66,53,35,92,19,56,85,0,5403
Hyundai,45,3,30,8,14,12,16,3,7,13,12,6,10,10,36,316,2,6,6,12,10,7,10,0,13,4,13,3,27,39,4,19,7,10,7,3,14,2,5,31,2,9,13,0,819
Volkswagen,6,6,55,4,6,13,4,10,2,10,2,3,2,9,21,4,218,6,1,1,2,1,2,5,6,4,20,2,11,30,1,6,4,5,2,4,12,3,2,5,1,6,9,0,526
Mazda,55,16,43,12,15,30,14,16,12,29,14,13,11,20,41,16,12,328,4,14,16,7,5,6,21,16,21,10,43,43,5,38,13,15,2,6,16,15,9,35,2,29,26,0,1114
Jeep,4,1,1,1,0,7,4,0,1,1,3,1,0,2,5,1,1,1,36,2,0,2,0,0,3,0,0,1,3,9,0,0,0,0,0,1,0,4,3,5,0,0,3,0,106
Infiniti,39,2,32,3,9,11,6,4,5,7,6,2,5,21,29,10,3,6,3,284,5,3,8,2,9,4,14,2,16,33,1,12,4,2,6,1,11,5,2,5,4,7,9,0,652
Land Rover,38,5,11,3,15,17,6,6,7,17,8,4,6,4,21,11,4,9,3,6,207,10,7,3,18,4,8,6,26,25,2,17,13,3,0,4,6,5,2,50,1,15,11,0,644
Kia,18,7,28,12,9,29,9,3,8,5,1,3,6,2,17,3,2,3,2,2,3,174,3,1,11,12,7,7,5,17,2,21,11,2,2,6,12,1,5,6,0,12,15,0,504
Mitsubishi,11,2,9,3,2,6,5,4,0,2,4,0,0,12,12,3,0,2,3,3,7,1,130,0,2,1,2,2,7,7,2,10,3,2,7,2,3,0,2,13,1,2,10,0,299
BMW,5,3,6,0,1,3,3,4,0,0,0,0,0,1,2,0,2,2,1,3,0,1,2,37,1,1,0,0,1,2,0,3,0,1,2,0,2,1,1,3,1,7,0,0,102
FIAT,163,18,57,11,21,39,20,23,16,30,32,22,18,41,62,36,14,39,6,21,38,11,10,7,453,7,19,26,63,105,13,77,26,9,6,21,26,9,18,32,5,47,78,0,1795
Lincoln,11,6,9,7,8,9,13,3,3,2,3,1,5,1,6,2,1,2,1,5,1,7,4,0,5,81,10,7,1,11,1,3,4,1,1,5,8,0,4,5,2,4,13,0,276
Lamborghini,46,10,41,15,15,38,13,9,20,30,13,7,5,12,55,12,14,16,4,12,7,15,11,4,24,13,601,10,22,54,11,21,16,8,6,5,24,11,11,27,4,15,27,0,1334
Jaguar,5,14,15,10,15,18,6,10,13,9,5,9,2,7,10,3,6,3,4,4,4,11,4,3,9,13,11,74,7,11,4,20,16,6,3,12,14,3,6,7,4,5,8,0,423
GMC,108,24,62,31,42,38,23,17,19,33,29,14,18,24,75,25,15,41,7,16,39,16,5,6,33,8,24,11,736,105,12,51,35,9,5,12,34,7,11,56,2,30,41,0,1949
Toyota,357,46,205,37,61,138,79,33,44,86,79,49,34,106,218,65,41,45,19,64,49,40,25,16,88,20,84,41,144,2456,21,121,71,39,34,41,75,30,34,100,17,98,85,0,5535
Nissan,7,0,1,0,0,6,7,0,2,5,0,1,0,4,7,0,0,3,0,2,1,1,0,1,3,0,3,0,2,2,65,4,0,1,0,1,1,0,1,1,0,1,1,0,134
Aston Martin,154,48,133,65,69,187,30,32,33,73,32,35,30,36,113,42,17,63,19,33,44,50,23,11,70,35,52,33,73,139,18,1408,83,21,23,53,64,17,40,56,12,91,181,0,3841
Volvo,13,12,18,17,34,16,8,6,18,14,9,6,12,3,18,3,6,7,8,4,9,11,7,5,5,13,11,8,11,22,7,12,103,4,3,11,15,4,3,10,2,6,9,0,523
Ferrari,17,7,36,2,4,7,2,10,7,32,1,4,3,7,24,1,11,3,4,5,3,5,2,6,5,2,12,4,12,15,2,8,6,157,5,6,8,4,4,3,0,3,5,0,464
